"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"pilot",4860,1441,TRUE,0.879944482997918,0.00139130434782609,0.469217391304348,0.469217391304348,0.469217391304348,0.469217391304348,0.469217391304348,0.469217391304348,0.469217391304348,0.469217391304348,0.469217391304348,1
"pilot4",1123,410,TRUE,0.682926829268293,0.00244200244200244,0.52014652014652,0.52014652014652,0.52014652014652,0.52014652014652,0.52014652014652,0.52014652014652,0.52014652014652,0.52014652014652,0.52014652014652,1
"pilotnov",2446,975,TRUE,0.717948717948718,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,0.483754512635379,1
"qap12",8856,3192,TRUE,0.897556390977444,0.000471475719000471,0.498664152129499,0.498664152129499,0.498664152129499,0.498664152129499,0.498664152129499,0.498664152129499,0.498664152129499,0.498664152129499,0.498664152129499,1
"recipe",204,91,FALSE,1,0.021505376344086,1,1,1,1,1,1,1,1,1,1
"sc105",163,105,TRUE,0.933333333333333,0.0145631067961165,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"sc205",317,205,TRUE,0.965853658536585,0.00738916256157635,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"sc50a",78,50,TRUE,0.94,0.03125,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.699999999999999,1
"sc50b",78,50,TRUE,1,0.0306122448979592,0.510204081632653,0.510204081632653,0.510204081632653,0.510204081632653,0.510204081632653,0.510204081632653,0.510204081632653,0.510204081632653,0.510204081632653,1
"scagr25",671,471,TRUE,0.70276008492569,0.00319148936170213,0.49468085106383,0.49468085106383,0.49468085106383,0.49468085106383,0.49468085106383,0.49468085106383,0.49468085106383,0.49468085106383,0.49468085106383,1
"scagr7",185,129,TRUE,0.75968992248062,0.01171875,0.48046875,0.48046875,0.48046875,0.48046875,0.48046875,0.48046875,0.48046875,0.48046875,0.622265624999999,1
"scfxm1",600,330,TRUE,0.809090909090909,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,0.46969696969697,1
"scfxm2",1200,660,TRUE,0.795454545454545,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"scfxm3",1800,990,TRUE,0.795959595959596,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"scorpion",466,388,TRUE,0.963917525773196,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
"scrs8",1275,490,TRUE,0.959183673469388,0.00809716599190283,1,1,1,1,1,1,1,1,1,1
"scsd1",760,77,TRUE,1,0.012987012987013,0.512987012987013,0.512987012987013,0.512987012987013,0.512987012987013,0.512987012987013,0.512987012987013,0.512987012987013,0.512987012987013,0.512987012987013,1
"scsd6",1350,147,TRUE,1,0.00680272108843537,0.506802721088435,0.506802721088435,0.506802721088435,0.506802721088435,0.506802721088435,0.506802721088435,0.506802721088435,0.506802721088435,0.506802721088435,1
"scsd8",2750,397,TRUE,1,0.00251889168765743,0.502518891687657,0.502518891687657,0.502518891687657,0.502518891687657,0.502518891687657,0.502518891687657,0.502518891687657,0.502518891687657,0.502518891687657,1
