"comparing","ClassicSolved","NewSolved","n","m","used.constraints","n.binding","prop.binding","rnd1","rnd2","rnd3","rnd4","rnd5","rnd6","rnd7","rnd8","rnd9","rnd10","economy"
0,0,0,77,1145,294,43,0.292517006802721,12,925,890,410,34,663,67,32,294,20,851
0,0,0,69,805,789,116,0.974789915966387,58,455,716,346,40,798,29,7,789,10,16
0,0,0,64,940,153,27,0.245454545454545,44,83,81,77,11,230,24,17,153,48,787
0,0,0,63,936,722,93,0.830357142857143,31,599,418,239,47,790,58,6,722,23,214
0,0,0,69,966,783,123,0.878571428571429,17,238,593,311,24,944,34,28,783,7,183
0,0,0,79,867,122,23,0.151315789473684,74,848,217,209,48,80,54,27,122,45,745
0,0,0,63,805,298,40,0.388349514563107,59,632,575,748,46,242,36,9,298,34,507
0,0,0,61,655,314,60,0.540540540540541,43,572,156,565,12,590,58,13,314,39,341
0,0,0,64,719,634,100,0.900900900900901,41,223,564,439,7,695,33,16,634,21,85
0,0,0,73,735,82,19,0.146153846153846,44,709,231,640,16,330,7,39,82,6,653
0,0,0,72,830,777,125,0.946969696969697,40,248,558,191,55,335,43,66,777,15,53
0,0,0,67,923,275,42,0.336,31,307,464,124,25,142,17,65,275,9,648
0,0,0,74,859,430,80,0.610687022900763,66,237,154,497,11,689,36,39,430,29,429
0,0,0,75,1115,647,86,0.656488549618321,2,445,433,687,41,986,56,11,647,46,468
0,0,0,80,1170,367,46,0.323943661971831,41,697,1063,732,20,1082,27,20,367,69,803
0,0,0,78,1050,1047,132,1,46,284,140,612,21,211,21,47,1047,56,3
0,0,0,69,793,350,46,0.46,59,256,762,499,57,218,2,5,350,3,443
0,0,0,75,920,293,45,0.340909090909091,56,395,749,747,66,306,50,68,293,54,627
0,0,0,68,729,338,60,0.540540540540541,34,426,151,199,42,269,22,53,338,49,391
0,0,0,71,1005,415,53,0.456896551724138,38,350,546,206,54,337,10,37,415,32,590
0,0,0,71,1032,908,119,0.967479674796748,46,127,533,383,4,319,19,13,908,19,124
0,0,0,76,969,807,106,0.854838709677419,62,760,841,256,26,922,21,59,807,19,162
0,0,0,69,909,391,58,0.479338842975207,22,764,712,477,2,334,2,28,391,45,518
0,0,0,79,1063,210,31,0.216783216783217,20,847,540,829,22,132,65,30,210,25,853
0,0,0,64,923,143,19,0.141791044776119,45,228,754,764,23,156,33,56,143,11,780
0,0,0,74,938,414,58,0.446153846153846,11,805,96,887,15,802,23,45,414,62,524
0,0,0,73,998,161,21,0.156716417910448,32,807,771,232,24,973,11,48,161,62,837
0,0,0,61,721,376,56,0.549019607843137,15,573,591,130,61,209,10,22,376,16,345
0,0,0,73,1041,486,60,0.483870967741935,7,429,867,867,16,196,13,37,486,8,555
0,0,0,76,904,518,68,0.576271186440678,34,302,484,696,45,877,21,18,518,22,386
0,0,0,62,920,391,57,0.483050847457627,32,536,856,581,58,79,51,11,391,55,529
0,0,0,76,972,618,93,0.669064748201439,37,278,727,891,6,562,62,69,618,55,354
0,0,0,65,878,227,36,0.342857142857143,14,863,539,829,16,777,54,10,227,58,651
0,0,0,74,793,540,93,0.709923664122137,41,152,130,257,28,621,44,74,540,31,253
0,0,0,80,988,384,55,0.447154471544715,56,439,964,288,39,628,12,79,384,54,604
0,0,0,66,974,260,41,0.336065573770492,11,222,276,166,66,779,19,43,260,42,714
0,0,0,67,748,88,18,0.165137614678899,53,500,463,293,26,103,13,29,88,33,660
0,0,0,79,1176,118,14,0.089171974522293,58,216,1026,1046,57,949,66,79,118,45,1058
0,0,0,73,875,410,65,0.477941176470588,65,452,830,540,47,178,11,37,410,5,465
0,0,0,63,846,71,11,0.101851851851852,40,376,576,88,28,216,28,62,71,49,775
0,0,0,68,971,777,92,0.836363636363636,16,546,78,116,68,379,22,4,777,22,194
0,0,0,67,870,476,72,0.620689655172414,52,533,122,477,55,841,19,20,476,44,394
0,0,0,72,723,328,60,0.495867768595041,30,194,207,91,40,211,32,53,328,40,395
0,0,0,66,685,226,54,0.473684210526316,50,144,553,348,5,654,52,51,226,31,459
0,0,0,76,836,390,59,0.440298507462687,42,543,199,301,6,556,40,5,390,70,446
0,0,0,75,990,600,88,0.611111111111111,47,604,617,958,33,917,32,22,600,43,390
0,0,0,77,781,428,81,0.551020408163265,13,719,455,117,45,688,18,27,428,19,353
0,0,0,77,890,561,106,0.757142857142857,23,808,215,164,27,143,14,36,561,30,329
0,0,0,79,1099,679,93,0.683823529411765,50,447,853,138,34,780,27,47,679,22,420
0,0,0,79,978,851,141,0.927631578947368,5,967,210,857,46,857,18,34,851,66,127
0,0,0,73,948,144,21,0.170731707317073,20,587,768,97,37,640,35,48,144,43,804
0,0,0,67,933,508,63,0.636363636363636,67,199,741,191,21,580,20,27,508,9,425
0,0,0,79,1032,864,115,0.845588235294118,43,867,781,178,47,488,36,9,864,53,168
0,0,0,65,688,293,53,0.486238532110092,38,231,291,616,23,115,8,46,293,63,395
0,0,0,75,903,355,65,0.436241610738255,50,767,776,663,58,729,13,35,355,68,548
0,0,0,69,845,277,49,0.392,31,552,93,840,12,709,14,57,277,69,568
0,0,0,80,1031,896,138,0.92,15,869,911,486,26,692,21,2,896,39,135
0,0,0,61,841,78,13,0.117117117117117,26,833,534,816,49,68,32,11,78,18,763
0,0,0,78,820,450,82,0.630769230769231,29,341,342,626,69,742,64,45,450,42,370
0,0,0,70,855,693,109,0.8515625,47,408,96,285,57,298,4,56,693,70,162
0,0,0,63,716,510,92,0.754098360655738,35,494,515,655,3,15,53,45,510,13,206
0,0,0,73,825,815,128,1,25,241,497,273,39,48,34,38,815,30,10
0,0,0,66,720,227,37,0.318965517241379,59,83,493,668,55,459,34,48,227,15,493
0,0,0,75,985,416,50,0.416666666666667,38,901,197,123,7,776,69,72,416,41,569
0,0,0,64,898,71,10,0.101010101010101,63,594,357,563,51,148,31,56,71,33,827
0,0,0,77,811,564,106,0.785185185185185,8,382,506,650,48,380,55,53,564,10,247
0,0,0,76,836,410,58,0.508771929824561,19,457,200,462,18,683,5,51,410,74,426
0,0,0,66,778,303,50,0.427350427350427,55,82,531,402,49,663,19,21,303,66,475
0,0,0,74,994,199,21,0.166666666666667,52,267,851,735,40,908,47,18,199,7,795
0,0,0,79,998,268,39,0.302325581395349,35,457,896,586,8,143,78,20,268,54,730
0,0,0,70,935,251,31,0.24031007751938,25,521,630,461,37,38,15,20,251,23,684
0,0,0,63,749,541,75,0.688073394495413,30,179,229,82,11,659,13,58,541,57,208
0,0,0,66,818,407,66,0.540983606557377,38,799,653,806,51,736,45,10,407,49,411
0,0,0,68,1008,967,110,0.964912280701754,37,112,371,808,54,590,53,23,967,66,41
0,0,0,67,883,136,10,0.106382978723404,19,229,525,829,24,635,41,11,136,60,747
0,0,0,66,928,473,78,0.6,42,669,705,298,39,702,23,20,473,18,455
0,0,0,68,1005,831,93,0.823008849557522,16,550,663,643,37,855,42,34,831,39,174
0,0,0,69,808,497,80,0.62992125984252,25,487,782,665,64,395,35,17,497,45,311
0,0,0,66,883,426,64,0.56140350877193,23,769,839,323,29,877,20,54,426,18,457
0,0,0,77,1070,616,86,0.589041095890411,19,552,1047,968,76,172,61,73,616,29,454
0,0,0,73,752,322,59,0.450381679389313,43,153,223,533,68,7,56,43,322,10,430
0,0,0,80,923,465,73,0.579365079365079,28,282,574,848,19,124,9,74,465,36,458
0,0,0,76,1094,872,126,0.845637583892617,67,708,517,291,58,866,7,21,872,45,222
0,0,0,68,845,352,68,0.492753623188406,57,765,592,373,56,562,60,46,352,29,493
0,0,0,76,861,178,29,0.243697478991597,30,509,459,402,35,803,20,4,178,71,683
0,0,0,69,829,398,56,0.455284552845528,46,541,736,131,17,18,51,64,398,38,431
