"comparing","ClassicSolved","NewSolved","n","m","used.constraints","n.binding","prop.binding","rnd1","rnd2","rnd3","rnd4","rnd5","rnd6","rnd7","rnd8","rnd9","rnd10","economy"
0,0,0,93,1101,238,42,0.267515923566879,29,1051,925,909,31,456,26,67,238,65,863
0,0,0,90,966,530,82,0.543046357615894,79,774,842,850,77,389,64,28,530,72,436
0,0,0,89,1216,1068,147,0.924528301886792,69,293,247,813,80,1199,47,74,1068,11,148
0,0,0,85,1246,691,75,0.559701492537313,43,568,861,413,20,1058,41,44,691,80,555
0,0,0,81,935,625,110,0.733333333333333,3,877,725,746,13,769,35,39,625,46,310
0,0,0,86,1101,520,77,0.516778523489933,84,1007,137,623,3,305,84,19,520,63,581
0,0,0,81,859,469,68,0.503703703703704,5,719,706,550,77,312,19,47,469,64,390
0,0,0,81,839,181,29,0.201388888888889,12,257,90,254,55,322,77,60,181,9,658
0,0,4,88,1259,543,71,0.482993197278912,85,1035,1186,519,37,1125,76,53,543,15,716
0,0,4,87,1099,837,120,0.810810810810811,49,371,339,223,53,974,83,59,837,47,262
0,0,0,81,916,203,32,0.237037037037037,40,616,691,93,4,573,63,8,203,35,713
0,0,0,88,1202,189,21,0.123529411764706,85,442,451,326,37,449,18,28,189,45,1013
0,0,0,93,1175,661,93,0.584905660377358,12,193,1039,736,20,534,23,41,661,70,514
0,0,0,91,950,152,28,0.187919463087248,29,671,441,573,58,427,85,32,152,54,798
0,0,0,81,1090,383,55,0.381944444444444,48,1058,233,913,69,782,12,36,383,12,707
0,0,0,85,1192,666,93,0.65034965034965,10,1058,977,474,62,876,35,80,666,40,526
0,0,0,89,1024,746,119,0.734567901234568,30,813,1003,157,58,327,67,29,746,13,278
0,0,0,83,1203,989,117,0.806896551724138,27,1157,264,173,37,137,38,20,989,74,214
0,0,0,81,1051,835,113,0.758389261744966,45,981,162,208,33,649,71,30,835,54,216
0,0,0,92,1236,450,50,0.304878048780488,41,590,967,113,65,651,27,41,450,60,786
0,0,0,83,909,199,34,0.23448275862069,25,372,400,152,11,394,24,28,199,44,710
0,0,0,84,877,233,38,0.283582089552239,59,872,750,552,19,176,22,60,233,20,644
0,0,0,83,978,106,16,0.104575163398693,65,593,748,552,24,459,69,66,106,80,872
0,0,0,82,1124,763,97,0.668965517241379,26,430,355,552,7,1070,40,35,763,55,361
0,0,0,83,927,824,116,0.89922480620155,77,752,422,907,55,114,75,13,824,40,103
0,0,0,88,1019,410,67,0.468531468531469,84,824,274,996,82,569,11,50,410,74,609
0,0,0,83,907,533,80,0.62992125984252,64,188,342,316,36,885,31,15,533,30,374
0,0,0,82,917,730,102,0.766917293233083,67,109,798,143,26,800,15,44,730,48,187
0,0,0,88,1001,933,147,0.967105263157895,85,859,342,607,52,29,32,29,933,35,68
0,0,0,83,902,473,75,0.551470588235294,56,467,700,129,43,359,69,62,473,72,429
0,0,0,94,955,503,88,0.578947368421053,47,558,679,184,25,843,87,3,503,43,452
0,0,0,88,1122,272,44,0.278481012658228,46,694,102,1122,33,184,9,41,272,71,850
0,0,0,84,1254,500,59,0.371069182389937,32,585,832,956,48,51,35,18,500,13,754
0,0,0,85,876,198,37,0.234177215189873,9,722,741,204,70,223,32,38,198,45,678
0,0,4,93,967,660,119,0.753164556962025,55,709,360,590,29,174,37,62,660,93,307
0,0,0,81,939,681,103,0.725352112676056,63,779,691,688,27,510,23,74,681,36,258
0,0,0,87,1120,317,57,0.360759493670886,20,103,788,264,52,835,47,60,317,61,803
0,0,0,89,1084,849,128,0.853333333333333,65,896,629,294,41,748,46,41,849,87,235
0,0,0,91,1088,272,39,0.253246753246753,73,139,300,1087,43,81,69,78,272,15,816
0,0,0,81,1213,521,80,0.5,77,955,866,193,18,672,51,48,521,33,692
0,0,0,95,992,515,99,0.642857142857143,7,746,511,123,79,176,60,64,515,78,477
0,0,0,83,1239,525,72,0.537313432835821,24,209,352,703,34,1030,67,64,525,62,714
0,0,0,82,916,204,34,0.261538461538462,49,213,757,647,80,346,20,65,204,41,712
0,0,0,83,1139,1119,147,0.993243243243243,54,348,327,998,78,709,44,17,1119,36,20
0,0,0,84,1050,738,110,0.738255033557047,79,351,137,251,30,767,12,78,738,11,312
0,0,0,82,820,533,91,0.722222222222222,20,591,802,182,3,175,51,46,533,9,287
0,0,0,82,1052,693,111,0.735099337748344,30,789,901,726,3,709,21,48,693,33,359
0,0,0,85,867,713,120,0.827586206896552,68,811,593,212,62,77,39,48,713,60,154
0,0,0,82,1165,183,24,0.171428571428571,21,422,237,981,80,284,17,23,183,52,982
0,0,0,82,1166,1057,127,0.875862068965517,29,908,910,1088,48,833,10,70,1057,25,109
0,0,0,88,959,605,117,0.73125,3,193,811,306,18,819,88,29,605,87,354
0,0,4,81,1179,977,134,0.875816993464052,77,697,737,137,38,1141,12,81,977,63,202
0,0,0,81,1094,815,124,0.805194805194805,52,383,790,213,31,265,14,42,815,27,279
0,0,0,90,1045,760,112,0.72258064516129,75,999,808,610,46,45,40,66,760,46,285
0,0,0,85,1009,614,82,0.598540145985402,16,369,329,265,32,928,42,46,614,78,395
0,0,0,89,1185,1094,144,0.966442953020134,77,1062,846,809,6,322,58,58,1094,80,91
0,0,0,85,1042,484,83,0.512345679012346,37,1015,454,971,78,280,29,42,484,42,558
0,0,0,87,1118,843,117,0.785234899328859,22,291,262,993,87,838,56,56,843,21,275
0,0,0,81,913,118,28,0.181818181818182,17,433,148,279,69,640,48,76,118,29,795
0,0,0,88,1230,790,121,0.746913580246914,30,755,479,1088,22,1169,60,66,790,11,440
0,0,0,81,1104,923,132,0.88,59,299,674,1069,51,989,49,19,923,80,181
0,0,0,82,951,189,28,0.189189189189189,63,662,305,467,42,720,78,35,189,45,762
0,0,4,95,1028,867,136,0.900662251655629,64,450,511,459,94,506,85,84,867,61,161
0,0,4,84,1033,844,126,0.851351351351351,84,765,487,102,28,586,54,18,844,20,189
0,0,0,87,897,424,82,0.630769230769231,54,122,112,739,47,525,24,39,424,82,473
0,0,0,86,884,99,27,0.195652173913043,22,785,218,375,75,470,58,70,99,22,785
0,0,0,86,971,746,124,0.805194805194805,82,759,706,258,27,924,36,84,746,82,225
