"LPprob","n","m","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"fit1p",1677,627,TRUE,0.601275917065391,0.00159489633173844,0.0727272727272727,0.172567783094099,0.276874003189793,0.362679425837321,0.464114832535885,0.556937799043062,0.635406698564593,0.754066985645933,0.850717703349282,1
"fit2d",10524,25,FALSE,1,0.04,0.136,0.232,0.328,0.424,0.52,0.616,0.712,0.808,0.904,1
"fit2p",13525,3000,TRUE,0.960666666666667,0.000333333333333333,0.0963833333333333,0.193733333333333,0.292033333333333,0.3887,0.487166666666667,0.5862,0.686833333333333,0.786833333333333,0.8906,1
"ganges",1706,1309,TRUE,0.834988540870894,0.0668449197860963,0.0668449197860963,0.169213139801375,0.255156608097785,0.354087089381207,0.483957219251337,0.573720397249809,0.677234530175707,0.782658517952636,0.86707410236822,1
"gfrd_pnc",1160,616,TRUE,0.88961038961039,0.0154346060113729,0.0625507717303006,0.173030056864338,0.353371242891958,0.517465475223396,0.517465475223396,0.517465475223396,0.72055239642567,0.80178716490658,0.88302193338749,1
"greenbea",5598,2392,FALSE,1,0.000836120401337793,0.0964255852842813,0.200459866220736,0.29933110367893,0.395903010033445,0.501254180602007,0.598871237458194,0.700459866220736,0.800083612040134,0.900041806020067,1
"greenbeb",5598,2392,FALSE,1,0.000836120401337793,0.0964255852842813,0.200459866220736,0.29933110367893,0.395903010033445,0.501254180602007,0.598871237458194,0.700459866220736,0.800083612040134,0.900041806020067,1
"grow15",645,300,FALSE,1,0.00333333333333333,0.101166666666667,0.202666666666667,0.302333333333333,0.385,0.485,0.601666666666667,0.695,0.791666666666667,0.883833333333334,1
"grow22",946,440,FALSE,1,0.00227272727272727,0.1,0.201818181818182,0.301590909090909,0.381818181818182,0.501136363636364,0.593181818181818,0.688636363636364,0.786363636363636,0.881818181818182,1
"grow7",301,140,FALSE,1,0.00714285714285714,0.105357142857143,0.205714285714286,0.305,0.410714285714286,0.496428571428571,0.607142857142857,0.703571428571429,0.810714285714286,0.891071428571429,1
"israel",316,174,TRUE,0.189655172413793,0.220289855072464,0.24,0.303768115942029,0.360579710144928,0.396521739130435,0.440579710144928,0.47768115942029,0.518260869565217,0.63768115942029,0.63768115942029,0.765217391304348
