"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"cre_a",7248,3516,0.000712918804481312,0.0878839590443686,0.561120309050773,TRUE,0.931740614334471,0.000286820593718629,0.103112003441847,0.197332568478417,0.321239064964864,0.489746163774559,0.489746163774559,0.631292126774702,0.705578660547827,0.839810698408146,0.91008174386921,1
"cre_c",6411,3068,0.000812295604218385,0.103650586701434,0.573701450631727,TRUE,0.926010430247718,0.000328461159467893,0.103465265232386,0.20101822959435,0.305797339464608,0.380029561504352,0.490885202824766,0.62670389226474,0.701593036623419,0.833798653309246,0.913286253900476,1
"cycle",3371,1903,0.00331004785181262,0,0.178582023138535,FALSE,1,0.00105960264900662,0.47682119205298,0.47682119205298,0.47682119205298,0.47682119205298,0.47682119205298,0.47682119205298,0.47682119205298,0.47682119205298,0.907549668874172,1
"czprob",3562,929,0.0032359271318045,0.925726587728741,0.983717012914093,TRUE,0.983853606027987,0.00107816711590297,0.103827493261456,0.202264150943396,0.300646900269542,0.395687331536388,0.49811320754717,0.599245283018868,0.694339622641509,0.791374663072776,0.896495956873315,1
"d2q06c",5831,2171,0.00261321874278434,0.402579456471672,0.55856628365632,TRUE,0.627360663288807,0.0262612301313061,0.15823542962451,0.243722644551947,0.325408891960378,0.410274130384704,0.493665054134992,0.603547569684404,0.693941488136374,0.778622437226446,0.863810181985718,1
"d6cube",6184,415,0.014691625492916,0.0144578313253012,1,TRUE,0.973493975903614,0.00240963855421687,0.0951807228915663,0.190361445783133,0.289156626506024,0.391566265060241,0.492168674698795,0.603614457831325,0.683132530120482,0.789156626506024,0.904819277108434,1
"degen2",757,444,0.0124989586680472,0.547297297297297,0.6221928665786,TRUE,0.936936936936937,0.00225225225225225,0.100225225225225,0.195945945945946,0.296171171171171,0.38963963963964,0.483108108108108,0.578828828828829,0.674549549549549,0.766891891891892,0.868243243243243,1
"dfl001",12230,6071,0.000479903049671286,0.2739252182507,0.510302534750613,TRUE,0.993081864602207,0.000164717509471257,0.101465985834294,0.184071816834129,0.300527096030308,0.421182671718004,0.421182671718004,0.630209191237028,0.630209191237028,0.804892110031296,0.911876132432878,0.999835282490529
"e226",472,223,0.026297788249601,0.443946188340807,0.400423728813559,TRUE,0.704035874439462,0.00448430493273543,0.101345291479821,0.19372197309417,0.281614349775785,0.365022421524664,0.461883408071749,0.564125560538117,0.709417040358745,0.792825112107623,0.867264573991031,1
"etamacro",816,400,0.00777267156862745,0.06,0.0980392156862745,FALSE,0.94,0.0025,0.42375,0.42375,0.42375,0.42375,0.42375,0.42375,0.42375,0.42375,0.90625,1
"fffff800",1028,524,0.0118829269017138,0.389312977099237,0.00778210116731518,TRUE,0.57824427480916,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,0.496637848222863,1
"finnis",1064,497,0.00521928563864389,0.233400402414487,0.379699248120301,FALSE,0.766599597585513,0.00201207243460765,0.0955734406438632,0.288732394366197,0.288732394366197,0.544265593561368,0.604627766599598,0.691146881287727,0.770623742454728,0.85010060362173,0.922535211267606,1
"fit1d",1049,24,0.533325389259612,0,0.978074356530029,FALSE,1,0.0416666666666667,0.1375,0.233333333333333,0.329166666666667,0.425,0.520833333333333,0.616666666666667,0.7125,0.808333333333333,0.904166666666667,1
"fit1p",1677,627,0.00938487596994329,1,0.611806797853309,TRUE,0.601275917065391,0.389483933787731,0.389483933787731,0.389483933787731,0.389483933787731,0.389483933787731,0.389483933787731,0.389483933787731,1,1,1,1
"fit2d",10524,25,0.490467502850627,0,0.855188141391106,FALSE,1,0.04,0.136,0.232,0.328,0.424,0.52,0.616,0.712,0.808,0.904,1
"fit2p",13525,3000,0.00123928527418361,0.5,0.77634011090573,TRUE,0.960666666666667,0.23661408575872,0.23661408575872,0.23661408575872,0.23661408575872,0.544545656520773,1,1,1,1,1,1
"ganges",1706,1309,0.00310636883976654,0.375095492742552,0.0638921453692849,TRUE,0.834988540870894,0.000788954635108481,0.366863905325444,0.366863905325444,0.366863905325444,0.366863905325444,0.366863905325444,0.366863905325444,0.511242603550329,0.817357001972387,0.911242603550296,1
"gfrd_pnc",1160,616,0.00342168607254814,0.11038961038961,0.939655172413793,TRUE,0.88961038961039,0.015459723352319,0.326281529698942,0.326281529698942,0.326281529698942,0.326281529698942,0.545972335231896,0.617575264442636,0.707078925956062,0.850284784377543,0.915378356387307,1
"greenbea",5598,2392,0.00232031626201904,0,0.111111111111111,FALSE,1,0.000418060200668896,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.900418060200669,1
"greenbeb",5598,2392,0.00232031626201904,0,0.111111111111111,FALSE,1,0.000418060200668896,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.463001672240803,0.900418060200669,1
