"comparing","ClassicSolved","NewSolved","n","m","used.constraints","n.binding","prop.binding","rnd1","rnd2","rnd3","rnd4","rnd5","rnd6","rnd7","rnd8","rnd9","rnd10","economy"
1,0,0,76,827,827,136,1,67,819,282,92,64,592,13,61,578,22,0
1,0,0,63,647,647,106,1,23,203,89,295,33,150,21,2,438,8,0
1,0,0,67,768,768,116,1,15,319,723,124,58,654,37,25,480,26,0
1,0,0,63,753,753,110,1,20,137,289,713,18,226,45,57,323,42,0
1,0,0,79,823,823,147,1,23,93,690,275,14,533,31,30,649,65,0
1,0,0,66,675,675,103,1,53,606,70,234,2,630,16,40,661,60,0
1,0,0,70,1035,1035,123,1,9,975,492,829,4,228,65,69,327,14,0
1,0,0,63,690,690,125,1,28,329,690,263,35,615,40,58,304,37,0
1,0,0,73,945,945,135,1,33,276,217,817,27,678,3,47,443,23,0
1,0,0,61,623,623,108,1,51,216,144,117,27,492,20,29,248,13,0
1,0,0,73,810,810,123,1,72,475,536,597,56,438,68,39,313,35,0
1,0,0,61,912,912,118,1,43,789,495,584,14,862,18,34,874,45,0
1,0,0,66,696,696,101,1,45,515,574,323,5,263,22,30,675,6,0
1,0,0,73,1015,1015,137,1,9,782,238,622,18,240,51,51,274,71,0
1,0,0,65,871,871,119,1,64,698,703,713,29,539,51,58,208,46,0
1,0,0,71,920,920,114,1,6,322,363,743,42,799,46,15,125,64,0
1,0,0,76,999,999,130,1,63,375,869,963,20,264,53,64,744,71,0
1,0,0,67,974,974,125,1,19,178,686,600,29,328,7,57,476,36,0
1,0,0,72,1017,1017,135,1,66,977,672,468,63,917,23,45,1000,33,0
1,0,0,68,844,844,113,1,49,591,178,176,48,487,52,55,502,67,0
1,0,0,74,995,995,138,1,69,884,872,182,42,726,25,30,321,68,0
1,0,0,78,1034,1034,138,1,38,569,128,1015,46,269,53,57,571,15,0
1,0,0,66,699,699,119,1,11,68,640,309,20,525,45,7,330,23,0
1,0,0,62,653,653,114,1,18,301,492,185,36,280,61,62,154,27,0
1,0,0,69,866,866,132,1,8,161,851,290,32,289,23,30,568,68,0
1,0,0,71,711,711,112,1,7,304,407,174,32,315,20,2,710,47,0
1,0,0,70,1020,1020,132,1,29,744,543,248,22,311,68,23,226,69,0
1,0,0,79,1139,1139,148,1,50,292,999,915,49,928,61,5,700,63,0
1,0,0,72,1045,1045,146,1,32,404,112,419,24,380,23,21,1026,47,0
1,0,0,70,745,745,127,1,44,189,736,480,63,200,18,11,356,39,0
1,0,0,61,733,733,100,1,35,532,649,299,60,352,3,48,117,34,0
1,0,0,70,933,933,131,1,68,608,905,594,21,841,20,3,909,69,0
1,0,0,63,682,682,113,1,45,234,565,562,34,273,8,37,401,34,0
1,0,0,70,949,949,130,1,65,153,106,902,70,568,63,58,603,26,0
1,0,0,65,757,757,114,1,35,94,180,397,18,213,11,43,68,3,0
1,0,0,63,635,635,104,1,4,419,240,418,63,236,52,62,89,15,0
1,0,0,77,1114,1114,134,1,26,710,249,875,16,685,76,45,861,16,0
1,0,0,71,822,822,129,1,38,775,503,788,25,754,58,20,236,71,0
1,0,0,64,897,897,108,1,62,276,349,535,30,421,52,2,394,52,0
0,0,0,65,933,397,45,0.436893203883495,60,456,628,277,29,9,2,23,754,52,536
1,0,0,69,902,902,140,1,24,440,698,255,52,116,62,49,250,53,0
1,0,0,61,699,699,101,1,39,71,573,134,24,545,34,5,656,20,0
1,0,0,69,714,714,124,1,14,159,95,478,53,367,36,53,149,2,0
1,0,0,73,899,899,133,1,17,353,749,213,26,237,66,43,651,45,0
1,0,0,63,638,638,97,1,2,433,591,467,44,105,46,26,597,8,0
1,0,0,74,1092,1092,135,1,67,798,203,205,46,371,26,37,379,18,0
1,0,0,72,794,794,124,1,46,699,373,746,57,445,35,32,490,59,0
1,0,0,71,862,862,123,1,39,361,76,721,60,720,47,40,830,6,0
1,0,0,78,1067,1067,137,1,42,100,890,630,76,166,68,25,776,10,0
1,0,0,73,1091,1091,137,1,56,459,799,427,12,285,4,19,795,43,0
1,0,0,76,964,964,123,1,74,121,495,661,32,723,63,33,303,47,0
1,0,0,76,957,957,131,1,51,346,803,84,44,928,41,3,174,11,0
1,0,0,61,884,884,96,1,5,96,861,321,46,674,53,8,555,50,0
1,0,0,68,778,778,116,1,33,102,380,443,44,284,60,16,477,3,0
1,0,0,79,1097,1097,155,1,35,381,667,680,3,596,77,36,699,75,0
1,0,0,66,845,845,130,1,29,547,119,434,51,155,35,54,552,16,0
1,0,0,64,686,686,98,1,61,367,179,348,63,112,27,42,136,26,0
1,0,0,63,708,708,105,1,3,196,660,564,47,227,61,57,665,28,0
1,0,0,62,653,653,112,1,52,548,128,73,7,371,11,54,415,4,0
1,0,0,67,816,816,111,1,57,777,173,343,54,649,7,50,776,26,0
1,0,0,71,893,893,112,1,61,234,455,195,31,103,14,64,802,53,0
1,0,0,69,700,700,119,1,37,429,399,194,38,442,57,63,101,48,0
1,0,0,73,1047,1047,131,1,67,765,77,478,62,182,21,22,934,32,0
1,0,0,67,854,854,111,1,67,853,506,191,27,807,22,9,306,51,0
