"LPprob","n","m","spA","spB","spC","suc","n.binding","Rank0","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","Rank9","Rank10"
"dfl001",12230,6071,0.000479903049671286,0.2739252182507,0.510302534750613,TRUE,0.993081864602207,0.000164717509471257,0.0999505847471586,0.199242299456432,0.299357601713062,0.399143468950749,0.501400098830506,0.601350683577664,0.701136550815352,0.80046120902652,0.900049415252841,1
"e226",472,223,0.026297788249601,0.443946188340807,0.400423728813559,TRUE,0.704035874439462,0.00448430493273543,0.101345291479821,0.171300448430493,0.241255605381166,0.369506726457399,0.448430493273543,0.545291479820628,0.661434977578475,0.779372197309417,0.876233183856502,0.995515695067265
"etamacro",816,400,0.00777267156862745,0.06,0.0980392156862745,FALSE,0.94,0.0025,0.49875,0.49875,0.49875,0.49875,0.49875,0.49875,0.49875,0.49875,0.49875,1
"fffff800",1028,524,0.0118829269017138,0.389312977099237,0.00778210116731518,TRUE,0.57824427480916,0.0168855534709193,1,1,1,1,1,1,1,1,1,1
"finnis",1064,497,0.00521928563864389,0.233400402414487,0.379699248120301,FALSE,0.766599597585513,0.00201207243460765,0.0784708249496982,0.154929577464789,0.231388329979879,0.306841046277666,0.38430583501006,0.460764587525151,0.71327967806841,0.847082494969819,0.922535211267606,1
"fit1d",1049,24,0.533325389259612,0,0.978074356530029,FALSE,1,0.0416666666666667,0.1375,0.233333333333333,0.329166666666667,0.425,0.520833333333333,0.616666666666667,0.7125,0.808333333333333,0.904166666666667,1
"fit1p",1677,627,0.00938487596994329,1,0.611806797853309,TRUE,0.601275917065391,0.267523364485981,0.267523364485981,0.267523364485981,0.267523364485981,1,1,1,1,1,1,1
"fit2d",10524,25,0.490467502850627,0,0.855188141391106,FALSE,1,0.04,0.136,0.232,0.328,0.424,0.52,0.616,0.712,0.808,0.904,1
"fit2p",13525,3000,0.00123928527418361,0.5,0.77634011090573,TRUE,0.960666666666667,0.304030787927891,0.304030787927891,0.304030787927891,0.304030787927891,0.304030787927891,0.304030787927891,0.719262710147863,1,1,1,1
"ganges",1706,1309,0.00310636883976654,0.375095492742552,0.0638921453692849,TRUE,0.834988540870894,0.000788954635108481,0.366863905325444,0.366863905325444,0.366863905325444,0.366863905325444,0.366863905325444,0.366863905325444,0.511242603550329,0.817357001972387,0.911242603550296,1
"gfrd_pnc",1160,616,0.00342168607254814,0.11038961038961,0.939655172413793,TRUE,0.88961038961039,0.00162337662337662,0.0904220779220779,0.180194805194805,0.264772727272727,0.357142857142857,0.446428571428571,0.531655844155844,0.625,0.675324675324675,0.910714285714286,1
